"Date","Price","Open","High","Low","Vol.","Change %"
"05/08/2026","487.70","485.00","490.50","469.10","11.86M","3.77%"
"05/07/2026","470.00","469.35","474.50","461.10","2.83M","0.80%"
"05/06/2026","466.25","465.00","468.00","458.60","2.91M","1.24%"
"05/05/2026","460.55","446.80","462.20","445.85","2.74M","3.34%"
"05/04/2026","445.65","445.00","450.90","443.00","1.05M","0.94%"
"04/30/2026","441.50","456.00","456.00","440.35","1.45M","-3.18%"
"04/29/2026","456.00","449.05","458.25","449.05","1.08M","1.30%"
"04/28/2026","450.15","452.15","453.10","449.00","533.94K","-0.41%"
"04/27/2026","452.00","452.45","457.40","451.00","677.27K","0.20%"
"04/24/2026","451.10","460.00","462.50","448.10","1.51M","-1.93%"
"04/23/2026","460.00","458.90","461.30","452.70","1.37M","0.00%"
"04/22/2026","460.00","452.00","465.00","450.75","2.38M","1.77%"
"04/21/2026","452.00","441.65","455.45","439.05","3.05M","2.33%"
"04/20/2026","441.70","443.95","447.30","436.55","1.66M","-0.26%"
"04/17/2026","442.85","427.00","444.10","424.20","4.98M","3.58%"
"04/16/2026","427.55","435.50","441.40","426.40","3.64M","-1.32%"
"04/15/2026","433.25","430.20","437.40","428.25","4.08M","2.00%"
"04/13/2026","424.75","430.05","432.40","422.65","1.19M","-2.51%"
"04/10/2026","435.70","425.00","437.80","424.75","2.17M","1.47%"
"04/09/2026","429.40","427.10","433.40","422.95","1.80M","0.50%"
"04/08/2026","427.25","425.00","430.65","422.90","1.65M","3.14%"
"04/07/2026","414.25","413.50","416.20","408.50","2.06M","0.13%"
"04/06/2026","413.70","423.50","423.85","408.35","2.86M","-0.85%"
"04/02/2026","417.25","412.45","420.00","403.35","1.15M","0.55%"
"04/01/2026","414.95","420.00","420.95","412.20","979.37K","1.10%"
"03/30/2026","410.45","417.50","417.50","408.00","2.50M","-2.18%"
"03/27/2026","419.60","430.00","430.00","418.50","1.69M","-2.65%"
"03/25/2026","431.00","425.00","439.15","421.10","2.33M","2.28%"
"03/24/2026","421.40","422.10","426.20","417.00","2.47M","0.97%"
"03/23/2026","417.35","428.95","428.95","416.05","3.38M","-3.10%"
"03/20/2026","430.70","433.70","434.80","429.00","1.93M","0.12%"
"03/19/2026","430.20","448.70","448.70","428.80","3.25M","-4.79%"
"03/18/2026","451.85","452.20","455.80","450.00","2.60M","-0.17%"
"03/17/2026","452.60","460.30","460.70","451.90","1.32M","-1.36%"
"03/16/2026","458.85","455.00","461.45","449.20","2.53M","1.18%"
"03/13/2026","453.50","454.80","462.45","452.05","1.71M","-1.27%"
"03/12/2026","459.35","471.30","471.30","456.50","1.76M","-2.65%"
"03/11/2026","471.85","485.00","485.00","470.00","861.17K","-1.88%"
"03/10/2026","480.90","472.55","483.45","471.20","1.03M","3.04%"
"03/09/2026","466.70","472.55","473.05","464.20","858.31K","-2.49%"
"03/06/2026","478.60","486.00","486.15","477.50","1.19M","-1.91%"
"03/05/2026","487.90","494.00","494.00","482.00","972.51K","0.10%"
"03/04/2026","487.40","499.00","504.95","486.00","1.73M","-3.98%"
"03/02/2026","507.60","500.80","513.75","500.80","2.11M","-2.10%"
"02/27/2026","518.50","523.05","525.50","512.00","2.41M","-1.13%"
"02/26/2026","524.45","518.65","525.00","517.40","714.00K","1.12%"
"02/25/2026","518.65","521.25","523.75","516.50","3.02M","0.12%"
"02/24/2026","518.05","514.45","519.75","512.75","1.52M","0.72%"
"02/23/2026","514.35","509.00","515.95","507.30","1.04M","0.91%"
"02/20/2026","509.70","501.15","511.15","500.40","1.28M","1.60%"
"02/19/2026","501.65","510.60","514.30","500.05","923.01K","-1.75%"
"02/18/2026","510.60","525.00","525.30","503.50","4.36M","-1.20%"
"02/17/2026","516.80","511.10","519.05","511.10","963.14K","0.50%"
"02/16/2026","514.25","512.90","515.95","508.05","667.47K","0.35%"
"02/13/2026","512.45","517.25","518.95","510.10","1.75M","-1.37%"
"02/12/2026","519.55","520.65","522.85","516.10","911.26K","-0.54%"
"02/11/2026","522.35","519.70","523.00","517.00","1.28M","0.51%"
"02/10/2026","519.70","516.00","520.65","510.00","1.14M","1.03%"
"02/09/2026","514.40","510.50","516.00","507.55","1.27M","1.20%"
"02/06/2026","508.30","502.00","509.00","498.55","950.73K","0.79%"
"02/05/2026","504.30","501.55","507.90","499.35","1.54M","0.62%"
"02/04/2026","501.20","500.00","506.20","496.80","1.06M","0.14%"
"02/03/2026","500.50","509.00","510.00","495.60","1.86M","0.30%"
"02/02/2026","499.00","501.00","503.00","493.85","2.47M","-0.62%"
"02/01/2026","502.10","509.25","518.00","494.80","1.36M","-0.89%"
"01/30/2026","506.60","512.15","519.90","501.35","2.74M","-0.75%"
"01/29/2026","510.45","515.80","517.20","499.35","1.89M","-1.03%"
"01/28/2026","515.75","513.95","518.00","502.20","2.78M","0.46%"
"01/27/2026","513.40","520.50","521.00","512.10","1.48M","-1.08%"
"01/23/2026","519.00","525.35","533.00","517.90","2.35M","-1.21%"
"01/22/2026","525.35","521.00","529.55","519.15","4.25M","1.77%"
"01/21/2026","516.20","501.10","518.40","501.10","4.34M","2.20%"
"01/20/2026","505.10","512.75","516.50","503.85","807.82K","-1.49%"
"01/19/2026","512.75","510.80","517.80","510.20","581.27K","-0.35%"
"01/16/2026","514.55","513.75","520.30","512.00","660.63K","0.16%"
"01/14/2026","513.75","518.10","523.70","511.10","798.94K","-1.59%"
"01/13/2026","522.05","525.00","529.15","516.75","1.29M","-0.37%"
"01/12/2026","524.00","522.30","525.95","519.50","1.89M","0.31%"
"01/09/2026","522.40","518.70","525.55","516.10","1.52M","0.57%"
"01/08/2026","519.45","520.00","526.60","515.00","3.20M","-0.28%"
"01/07/2026","520.90","523.80","527.00","518.75","2.87M","0.11%"
"01/06/2026","520.35","517.40","522.65","501.25","2.90M","-0.16%"
"01/05/2026","521.20","524.00","534.00","519.90","3.29M","-0.27%"
"01/02/2026","522.60","501.45","526.35","499.00","5.34M","4.53%"
"01/01/2026","499.95","505.00","505.90","497.85","698.25K","-0.72%"
"12/31/2025","503.60","495.00","509.90","494.90","2.39M","1.60%"
"12/30/2025","495.65","489.40","497.35","487.00","2.22M","1.30%"
"12/29/2025","489.30","488.35","491.25","485.95","982.02K","0.23%"
"12/26/2025","488.20","490.70","492.95","487.80","518.70K","-0.48%"
"12/24/2025","490.55","493.15","495.05","489.05","850.60K","-0.53%"
"12/23/2025","493.15","494.15","495.50","491.45","993.41K","-0.11%"
"12/22/2025","493.70","495.40","497.50","493.05","998.22K","-0.05%"
"12/19/2025","493.95","493.00","495.00","491.40","1.24M","0.28%"
"12/18/2025","492.55","494.05","494.05","489.55","683.97K","-0.32%"
"12/17/2025","494.15","497.00","498.60","492.30","551.89K","-0.61%"
"12/16/2025","497.20","497.00","504.50","494.60","1.48M","0.00%"
"12/15/2025","497.20","493.50","499.90","493.10","993.51K","0.44%"
"12/12/2025","495.00","502.50","503.70","494.00","1.51M","-1.35%"
"12/11/2025","501.75","500.10","503.35","496.65","1.12M","-0.16%"
"12/10/2025","502.55","505.00","505.95","498.10","1.31M","-0.21%"
"12/09/2025","503.60","500.35","505.95","498.00","1.42M","-0.17%"
"12/08/2025","504.45","508.10","510.90","500.75","1.14M","-1.11%"
"12/05/2025","510.10","503.25","510.80","502.35","1.21M","0.39%"
"12/04/2025","508.10","505.15","510.25","502.55","1.37M","0.42%"
"12/03/2025","506.00","505.15","509.05","500.80","1.39M","-0.38%"
"12/02/2025","507.95","513.10","517.85","507.00","2.43M","-1.42%"
"12/01/2025","515.25","517.45","519.35","514.15","1.62M","-0.42%"
"11/28/2025","517.40","520.45","520.45","513.45","999.61K","-0.34%"
"11/27/2025","519.15","517.25","520.50","514.75","1.26M","0.38%"
"11/26/2025","517.20","514.15","520.05","513.85","914.83K","0.54%"
"11/25/2025","514.40","511.40","515.45","509.00","2.05M","0.39%"
"11/24/2025","512.40","516.95","517.85","511.40","5.93M","-0.63%"
"11/21/2025","515.65","525.05","525.05","514.30","2.66M","-1.79%"
"11/20/2025","525.05","519.05","527.00","516.70","2.96M","1.45%"
"11/19/2025","517.55","520.85","523.55","516.60","2.42M","-0.63%"
"11/18/2025","520.85","524.20","524.25","512.50","1.96M","-0.65%"
"11/17/2025","524.25","529.00","529.90","523.35","1.86M","-0.14%"
"11/14/2025","525.00","522.00","527.00","517.55","1.79M","0.54%"
"11/13/2025","522.20","522.00","528.60","517.00","1.86M","-0.02%"
"11/12/2025","522.30","519.95","524.90","516.05","2.52M","0.45%"
"11/11/2025","519.95","515.70","521.65","512.65","1.48M","0.87%"
"11/10/2025","515.45","520.00","521.00","512.80","1.01M","-0.62%"
"11/07/2025","518.65","522.00","522.00","512.50","1.75M","-0.96%"
"11/06/2025","523.70","517.05","524.50","511.05","3.91M","1.29%"
"11/04/2025","517.05","502.30","519.95","501.95","5.32M","2.73%"
"11/03/2025","503.30","488.10","504.45","485.60","4.52M","3.23%"
"10/31/2025","487.55","502.90","502.95","486.70","4.98M","-2.79%"
"10/30/2025","501.55","511.50","511.50","499.60","1.74M","-1.28%"
"10/29/2025","508.05","503.40","508.90","501.80","1.88M","0.92%"
"10/28/2025","503.40","508.10","508.20","501.00","2.83M","-0.72%"
"10/27/2025","507.05","508.50","510.20","504.70","3.26M","-0.28%"
"10/24/2025","508.45","512.40","512.40","498.40","3.79M","-0.58%"
"10/23/2025","511.40","507.00","515.00","505.30","3.69M","0.99%"
"10/21/2025","506.40","506.15","507.85","503.45","128.94K","0.37%"
"10/20/2025","504.55","511.10","511.10","503.50","824.26K","-0.75%"
"10/17/2025","508.35","500.60","511.65","499.60","3.44M","1.52%"
"10/16/2025","500.75","493.90","502.00","493.90","1.24M","1.54%"
"10/15/2025","493.15","486.05","494.40","486.05","2.08M","1.19%"
"10/14/2025","487.35","487.75","489.75","484.55","1.61M","-0.08%"
"10/13/2025","487.75","488.60","489.60","482.55","1.99M","-0.40%"
"10/10/2025","489.70","485.40","490.85","485.40","1.61M","0.89%"
"10/09/2025","485.40","480.45","486.50","479.15","3.05M","1.09%"
"10/08/2025","480.15","485.00","493.20","479.15","3.63M","-2.46%"
"10/07/2025","492.25","493.35","502.80","489.90","4.53M","-0.22%"
"10/06/2025","493.35","495.50","497.75","491.80","2.68M","-0.56%"
"10/03/2025","496.15","495.05","497.80","490.75","3.04M","0.22%"
"10/01/2025","495.05","491.30","496.00","483.65","2.44M","0.76%"
"09/30/2025","491.30","495.00","500.15","489.50","2.65M","-0.31%"
"09/29/2025","492.85","497.75","501.70","490.55","17.69M","-1.38%"
"09/26/2025","499.75","508.00","508.00","493.00","3.17M","-1.29%"
"09/25/2025","506.30","517.80","521.85","505.15","2.36M","-2.22%"
"09/24/2025","517.80","515.00","520.95","511.40","1.78M","0.54%"
"09/23/2025","515.00","522.00","522.00","512.65","3.47M","-1.35%"
"09/22/2025","522.05","536.00","536.75","518.00","2.89M","-2.50%"
"09/19/2025","535.45","536.95","542.80","532.70","2.41M","-0.16%"
"09/18/2025","536.30","536.00","539.00","532.40","2.01M","0.21%"
"09/17/2025","535.15","537.55","539.50","532.20","822.21K","-0.10%"
"09/16/2025","535.70","540.60","542.30","534.50","1.41M","-0.96%"
"09/15/2025","540.90","536.50","542.60","536.50","837.56K","0.38%"
"09/12/2025","538.85","544.10","544.10","533.70","2.75M","-0.96%"
"09/11/2025","544.10","547.25","548.40","543.00","891.84K","-0.62%"
"09/10/2025","547.50","546.90","548.95","543.70","874.89K","0.60%"
"09/09/2025","544.25","546.25","547.40","539.25","1.94M","-0.36%"
"09/08/2025","546.20","547.95","551.65","542.70","782.24K","-0.09%"
"09/05/2025","546.70","553.80","555.85","542.35","1.49M","-1.09%"
"09/04/2025","552.70","565.00","577.00","551.35","8.71M","1.69%"
"09/03/2025","543.50","545.90","549.25","541.25","2.22M","-0.20%"
"09/02/2025","544.60","525.00","547.75","523.65","8.97M","4.00%"
"09/01/2025","523.65","521.55","524.55","520.05","4.33M","0.49%"
